Agenise	Agenize
Agenize	Agenise
Americanise	Americanize
Americanize	Americanise
Balkanise	Balkanize
Balkanize	Balkanise
Christianise	Christianize
Christianize	Christianise
DJ	disk-jockey	disc-jockey
Europeanise	Europeanize
Europeanize	Europeanise
G.I.	GI
GI	G.I.
Islamise	Islamize
Islamize	Islamise
Latinise	Romanize	Romanise	Latinize
Latinize	Romanize	Romanise	Latinise
O.K.	approve	okay	sanction
Romanise	Romanize	Latinize	Latinise
Romanize	Romanise	Latinize	Latinise
Simonise	Simonize
Simonize	Simonise
aah	ooh
abandon	forsake	desolate	desert
abandon	give_up
abandon	vacate	empty
abase	humiliate	mortify	chagrin	humble
abash	embarrass
abate	let_up	slack_off	slack	die_away
abate	slake	slack
abbreviate	abridge	foreshorten	shorten	cut	contract	reduce
abdicate	renounce
abduce	adduce	cite
abduct	kidnap	nobble	snatch
abhor	loathe	abominate	execrate
abide	bide	stay
abide	digest	endure	stick_out	stomach	bear	stand	tolerate	support	brook	suffer	put_up
abide_by	comply	follow
abide_by	respect	honor	honour	observe
abjure	recant	forswear	retract	resile
ablactate	wean
abnegate	deny
abolish	get_rid_of
abominate	abhor	loathe	execrate
abound	burst	bristle
abound_in	teem_in	pullulate_with
abrade	corrade	abrase	rub_down	rub_off
abrade	scour
abrase	abrade	corrade	rub_down	rub_off
abridge	foreshorten	abbreviate	shorten	cut	contract	reduce
abscond	bolt	absquatulate	decamp	run_off	go_off	make_off
abseil	rappel	rope_down
absent	remove
absolve	justify	free
absolve	shrive
absorb	assimilate	ingest	take_in
absorb	engross	engage	occupy
absorb	steep	immerse	engulf	plunge	engross	soak_up
absorb	suck	imbibe	soak_up	sop_up	suck_up	draw	take_in	take_up
absorb	take_in
absorb	take_over
absquatulate	abscond	bolt	decamp	run_off	go_off	make_off
abstain	refrain	desist
abstract	pilfer	cabbage	purloin	pinch	snarf	swipe	hook	sneak	filch	nobble	lift
abuse	clapperclaw	blackguard	shout
abuse	mistreat	maltreat	ill-use	step	ill-treat
abuse	pervert	misuse
abut	border	adjoin	edge	march	butt	butt_against	butt_on
aby	expiate	abye	atone
abye	expiate	aby	atone
accede	assent	acquiesce
accede	enter
accede	submit	bow	defer	give_in
accelerate	speed	speed_up
accelerate	speed_up	speed	quicken
accent	stress	accentuate
accent	stress	emphasize	emphasise	punctuate	accentuate
accentuate	stress	accent
accentuate	stress	emphasize	emphasise	punctuate	accent
accept	admit	take	take_on
accept	bear	take_over	assume
accept	consent	go_for
accept	live_with	swallow
accept	take
accept	take	have
access	get_at
acclaim	applaud	clap	spat
acclaim	hail	herald
acclimate	acclimatize	acclimatise
acclimatise	acclimatize	acclimate
acclimatize	acclimatise	acclimate
accommodate	adapt
accommodate	hold	admit
accommodate	lodge
accommodate	oblige
accommodate	reconcile	conciliate
accommodate	suit	fit
accompany	attach_to	come_with	go_with
accompany	company	companion	keep_company
accompany	play_along	follow
accomplish	achieve	attain	reach
accomplish	carry_through	execute	carry_out	action	fulfill	fulfil
accord	allot	grant
accord	harmonize	harmonise	consort	concord	fit_in	agree
accost	address	come_up_to
accost	hook	solicit
account	answer_for
account	calculate
account	report	describe
accouter	accoutre
accoutre	accouter
accredit	credit
accredit	recognize	recognise
accrue	fall
accumulate	cumulate	conglomerate	pile_up	gather	amass
accumulate	roll_up	collect	pile_up	amass	compile	hoard
accurse	execrate	anathemize	comminate	anathemise	anathematize	anathematise
accuse	charge
accuse	impeach	incriminate	criminate
accustom	habituate
ace	breeze_through	pass_with_flying_colors	sweep_through	sail_through	nail
acerbate	embitter	envenom
acetify	acidify
acetify	sour	acidify	acidulate
acetylate	acetylize	acetylise
acetylise	acetylate	acetylize
acetylize	acetylate	acetylise
ache	hurt	suffer
ache	smart	hurt
ache	yearn	yen	pine	languish
achieve	accomplish	attain	reach
achromatise	achromatize
achromatize	achromatise
acidify	acetify
acidify	sour	acidulate	acetify
acidulate	sour	acidify	acetify
acknowledge	admit
acknowledge	notice
acknowledge	receipt
acknowledge	recognize	recognise
acknowledge	recognize	recognise	know
acquaint	familiarize	familiarise
acquaint	introduce	present
acquiesce	assent	accede
acquire	assume	adopt	take_on	take
acquire	develop	evolve
acquire	get
acquire	grow	develop	produce	get
acquire	learn	larn
acquire	win	gain
acquit	assoil	clear	discharge	exonerate	exculpate
acquit	behave	bear	deport	conduct	comport	carry
act	behave	do
act	dissemble	pretend
act	move
act	play	act_as
act	play	represent
act	play	roleplay	playact
act	work
act_as	act	play
act_involuntarily	act_reflexively
act_on	pursue	follow_up_on
act_out	enact	reenact
act_reflexively	act_involuntarily
act_superior	lord_it_over	queen_it_over	put_on_airs
act_up	carry_on
act_upon	influence	work
action	carry_through	accomplish	execute	carry_out	fulfill	fulfil
action	sue	litigate	process
activate	aerate
activate	trip	actuate	trigger	set_off	spark_off	spark	trigger_off	touch_off
actualise	actualize
actualise	realize	realise	actualize	substantiate
actualize	actualise
actualize	realize	realise	actualise	substantiate
actuate	motivate	propel	move	prompt	incite
actuate	trip	trigger	activate	set_off	spark_off	spark	trigger_off	touch_off
ad-lib	improvise	improvize	extemporize	extemporise
adapt	accommodate
adapt	adjust	conform
add	add_together
add	append	supply
add	lend	impart	bestow	contribute	bring
add	total	tot	tot_up	sum	sum_up	summate	tote_up	add_together	tally	add_up
add_on	append	supplement	affix
add_together	add
add_together	total	tot	tot_up	sum	sum_up	summate	tote_up	add	tally	add_up
add_up	come	amount
add_up	make_sense
add_up	total	number	come	amount
add_up	total	tot	tot_up	sum	sum_up	summate	tote_up	add	add_together	tally
addict	hook
addle	muddle	puddle
address	accost	come_up_to
address	call
address	cover	treat	handle	plow	deal
address	direct
address	speak
address	turn_to
adduce	abduce	cite
adhere	cling	cleave	stick	cohere
adhere	hold_fast	bond	bind	stick	stick_to
adhere	stand_by	stick_by	stick
adhere	stick
adjoin	border	edge	abut	march	butt	butt_against	butt_on
adjoin	touch	meet	contact
adjourn	recess	break_up
adjourn	withdraw	retire
adjudge	declare	hold
adjudicate	decide	settle	resolve
adjudicate	judge	try
adjure	bid	beseech	entreat	press	conjure
adjust	align	aline	line_up
adjust	conform	adapt
adjust	set	correct
administer	administrate
administer	dispense
administer	distribute	mete_out	deal	parcel_out	lot	dispense	shell_out	deal_out	dish_out	allot	dole_out
administrate	administer
admire	look_up_to
admit	accept	take	take_on
admit	accommodate	hold
admit	acknowledge
admit	allow
admit	allow_in	let_in	intromit
admit	let_in	include
admonish	caution	monish
admonish	reprove
admonish	warn	discourage	monish
adopt	assume	acquire	take_on	take
adopt	assume	take_on	take_over
adopt	borrow	take_over	take_up
adopt	dramatize	dramatise
adopt	espouse	embrace	sweep_up
adopt	follow	espouse
adopt	take_in
adorn	deck	decorate	grace	embellish	beautify
adorn	decorate	grace	ornament	embellish	beautify
adorn	invest	clothe
adulterate	load	stretch	dilute	debase
adumbrate	intimate	insinuate
adumbrate	sketch	outline
advance	boost	supercharge
advance	bring_forward
advance	gain
advance	gain	win	pull_ahead	make_headway	get_ahead	gain_ground
advance	progress	come_on	come_along	get_on	get_along	shape_up
advance	progress	pass_on	move_on	march_on	go_on
advance	promote	boost	further	encourage
advance	promote	upgrade	kick_upstairs	raise	elevate
advance	set_ahead
advance	throw_out
adventure	gamble	chance	risk	hazard	take_chances	run_a_risk	take_a_chance
adventure	venture	hazard	stake	jeopardize
advert	allude	touch
advert	attend	hang	pay_heed	give_ear
advert	mention	bring_up	cite	name	refer
advertise	advertize	promote	push
advertise	publicize	advertize	publicise
advertize	advertise	promote	push
advertize	advertise	publicize	publicise
advise	notify	give_notice	send_word	apprise	apprize
advise	propose	suggest
advise	rede	counsel
advocate	preach
advocate	recommend	urge
aerate	activate
aerate	air_out	air
aerate	oxygenate	oxygenize	oxygenise
aerify	gasify	vaporize	vaporise
aerosolise	aerosolize
aerosolize	aerosolise
aestivate	estivate
affect	feign	sham	pretend	dissemble
affect	impact	bear_upon	bear_on	touch_on	touch
affect	impress	move	strike
affect	involve	regard
affiance	betroth	engage	plight
affiliate	consort	associate	assort
affirm	confirm	corroborate	sustain	substantiate	support
affirm	verify	assert	avow	aver	swan	swear
affix	append	add_on	supplement
affix	stick_on
afflict	smite
afford	open	give
afford	yield	give
afforest	forest
affranchise	enfranchise
affright	frighten	fright	scare
affront	diss	insult
age	senesce	get_on	mature	maturate
aggrandise	embroider	pad	lard	embellish	aggrandize	blow_up	dramatize	dramatise
